FileName,ClassName,Category,Type,HasExampleMethod,FilePath
AccountHistoryReportRequest.cs,AccountHistoryReportRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/AccountHistoryReportRequest.cs
AddressRequestDto.cs,AddressRequestDto,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/AddressRequestDto.cs
AdhocBeneficiariesReportRequest.cs,AdhocBeneficiariesReportRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/AdhocBeneficiariesReportRequest.cs
AuditChangeEntryInput.cs,AuditChangeEntryInput,Audit,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Audit/AuditChangeEntryInput.cs
AuditSearchRequestDto.cs,AuditSearchRequestDto,Audit,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Audit/AuditSearchRequestDto.cs
BadgeNumberRequest.cs,BadgeNumberRequest,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/BadgeNumberRequest.cs
BeneficiaryDetailRequest.cs,BeneficiaryDetailRequest,BeneficiaryInquiry,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/BeneficiaryInquiry/BeneficiaryDetailRequest.cs
BeneficiaryDisbursementRequest.cs,BeneficiaryDisbursementRequest,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/BeneficiaryDisbursementRequest.cs
BeneficiaryKindRequestDto.cs,BeneficiaryKindRequestDto,BeneficiaryInquiry,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/BeneficiaryInquiry/BeneficiaryKindRequestDto.cs
BeneficiaryRequestDto.cs,BeneficiaryRequestDto,BeneficiaryInquiry,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/BeneficiaryInquiry/BeneficiaryRequestDto.cs
BeneficiarySearchFilterRequest.cs,BeneficiarySearchFilterRequest,BeneficiaryInquiry,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/BeneficiaryInquiry/BeneficiarySearchFilterRequest.cs
BeneficiaryTypeRequestDto.cs,BeneficiaryTypeRequestDto,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/BeneficiaryTypeRequestDto.cs
BeneficiaryTypesRequestDto.cs,BeneficiaryTypesRequestDto,BeneficiaryInquiry,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/BeneficiaryInquiry/BeneficiaryTypesRequestDto.cs
BreakdownByStoreRequest.cs,BreakdownByStoreRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/BreakdownByStoreRequest.cs
CerficatePrintRequest.cs,CerficatePrintRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/CerficatePrintRequest.cs
CheckRunStartRequest.cs,CheckRunStartRequest,CheckRun,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/CheckRun/CheckRunStartRequest.cs
ContactInfoRequestDto.cs,ContactInfoRequestDto,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ContactInfoRequestDto.cs
CreateBeneficiaryContactRequest.cs,CreateBeneficiaryContactRequest,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/CreateBeneficiaryContactRequest.cs
CreateBeneficiaryRequest.cs,CreateBeneficiaryRequest,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/CreateBeneficiaryRequest.cs
CreateCommentTypeRequest.cs,CreateCommentTypeRequest,Administration,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Administration/CreateCommentTypeRequest.cs
CreateDistributionRequest.cs,CreateDistributionRequest,Distributions,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Distributions/CreateDistributionRequest.cs
CreateMilitaryContributionRequest.cs,CreateMilitaryContributionRequest,Military,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Military/CreateMilitaryContributionRequest.cs
DemographicsRequest.cs,DemographicsRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/DemographicsRequest.cs
DistributionRunReportRequest.cs,DistributionRunReportRequest,Distributions,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Distributions/DistributionRunReportRequest.cs
DistributionsAndForfeituresRequest.cs,DistributionsAndForfeituresRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/DistributionsAndForfeituresRequest.cs
DistributionSearchRequest.cs,DistributionSearchRequest,Distributions,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Distributions/DistributionSearchRequest.cs
